artist_id,artist_name,location,total_plays,top_song_name,top_song_plays,last_updated
AR01W2D1187FB5912F,3OH!3,"Boulder, CO",2,CHOKECHAIN (Amended Album Version),2,2025-11-24 16:46:14
AR02IU11187FB513F2,Tito Puenté,"New York, NY",4,Mambo Tipico,2,2025-11-24 16:54:58
AR02YGA1187B9B8AC4,Bersuit Vergarabat,Buenos Aires,5,De Onda,1,2025-11-24 16:54:58
AR035N21187FB3938E,BT,Earth,3,Henrys Death,1,2025-11-24 16:54:58
AR039B11187B9B30D0,John Williams,"NEW YORK, New York",2,Everything I Do from Robin Hood,1,2025-11-24 16:46:14
AR03BDP1187FB5B324,Britney Spears,"Kentwood, LA; Los Angeles, CA",5,Everytime,1,2025-11-24 16:54:58
AR040QX1187FB4CFE1,Alexisonfire,"St. Catharines, ON, Canada",1,Accept Crime (Album Version),1,2025-11-24 16:02:50
AR048JZ1187B9AEB85,Yellowcard,"Jacksonville, FL",1,One Year_ Six Months,1,2025-11-24 16:02:50
AR051KA1187B98B2FF,Wilks,,10,Music is what we love,2,2025-11-24 16:54:58
AR05IU31187B9B9A1A,Alex Ubago,"Vitoria, Spain",2,Ciudad desierta,1,2025-11-24 16:02:50
AR06EB01187FB40150,NOFX,"Berkeley, CA",4,My Heart Is Yearning,2,2025-11-24 16:54:58
AR0B1CH1187FB3A824,Charlie Rich,"Benton, Arkansas",3,You Don't Know Me,2,2025-11-24 16:54:58
AR0B3RS1187FB48F5D,Why?,"Cincinnati, OH",3,Sick 2 Think,2,2025-11-24 16:46:14
AR0BV7E1187FB386C1,Lee Ritenour,"Hollywood, CA",2,Good Question  (LP Version),1,2025-11-24 16:46:14
AR0CANF1187B9AF35F,Dilated Peoples Featuring Black Thought,"Los Angeles, California",3,Firepower (The Tables Have to Turn) (Explicit) (Feat. Capleton),2,2025-11-24 16:46:14
AR0DSOO1187B9B855E,Wailing Souls,,3,Firehouse Rock,2,2025-11-24 16:46:14
AR0DTOH1187FB4B83A,Eddie Henderson,"MONMOUTH, Oregon",2,Beyond Forever (2004 Digital Remaster),2,2025-11-24 16:43:32
AR0GGKI1187FB391D5,Eddie,,2,Lombrigas e os vermes,2,2025-11-24 16:43:32
AR0I2BV1187FB3D89F,Enslavement Of Beauty,NORWAY,3,And Still I Wither,2,2025-11-24 16:54:58
AR0IVSA1187FB4F069,Helmet,New York,2,Your Head,1,2025-11-24 16:02:50
AR0JEOI1187B98B918,Erik Berglund,Texas,3,Angel Of Heaven's Gate,2,2025-11-24 16:54:58
AR0JPOG1187FB37383,Lyrics Born,Japan,4,Stop Complaining/Remix/Jam,2,2025-11-24 16:54:58
AR0JURX1187FB3C8FF,Illya Kuryaki And The Valderramas,Brewster New York USA,1,Ninja Mental,1,2025-11-24 16:02:50
AR0JVUH1187B9918B5,Oscar Lima,,1,Desert Caravan,1,2025-11-24 16:02:50
AR0KBXO1187B996460,Slipknot,"Des Moines, Iowa",2,Everything Ends (Live version) (Album Version),1,2025-11-24 16:43:32
AR0LVFQ1187B9A84E0,Jason Miles,NY - New York City,3,Suba,1,2025-11-24 16:46:14
AR0N9BV1187FB3AD01,Gene Pitney,"Hartford, CT",2,For Me This Is Happy,2,2025-11-24 16:46:14
AR0OEYB1187FB4A81E,Catherine Howe,"Yorkshire, England",4,Where Would You Start? (From Harry),1,2025-11-24 16:54:58
AR0QL3J1187FB3748E,Clara Nunes,,2,Sofrimento De Quem Ama (1997 Digital Remaster),1,2025-11-24 16:46:14
AR0QS8F1187B9ADC96,Sandy Lam,,2,Lonely Shooting Stars,1,2025-11-24 16:43:32
AR0RCMP1187FB3F427,Billie Jo Spears,"Beaumont, TX",4,Lizzie And The Rain Man,2,2025-11-24 16:54:58
AR0S7TA1187FB4D024,Christina Aguilera,,4,Genio Atrapado,2,2025-11-24 16:54:58
AR0U44O1187B99007C,Republica,"London, England",2,Pub Pusher,2,2025-11-24 16:46:14
AR0VS771187B99564F,Rocky Hill,DE,3,Hootchie Cootchie Man,2,2025-11-24 16:43:32
AR0VZWC1187B99BA57,The Berzerker,"Melbourne, Australia",2,Humanity,1,2025-11-24 16:43:32
AR0WAW61187B98B7D7,Doug MacLeod,"New York, NY",2,Take Your Leave Of Me Baby,1,2025-11-24 16:02:50
AR0WCZW1187B99F592,Tommy Torres,,2,Pegadito,2,2025-11-24 16:43:32
AR0WGXC1187B9AAC99,Slum Village,Detroit MI,2,Climax (Instrumental Mix),1,2025-11-24 16:46:14
AR0X3JJ1187FB3A9A7,Hank Locklin,"McLellan, FL",4,Filipino Baby,1,2025-11-24 16:54:58
AR0XJ291187FB45855,Drexel,"Dayton, Ohio",1,Blood On The Snow,1,2025-11-24 16:02:50
AR0XSOO1187B9B9E88,Buzzcocks,London / Ex-Manchester,3,Strange Thing,2,2025-11-24 16:54:58
AR107SB1187B9A79F9,Bézu,"Bézu, comme Superdupont, ne connait qu&#039;un pays : la France !",4,Viens boire un petit coup à la maison,2,2025-11-24 16:54:58
AR11NP91187B9901B4,The Roches,New York City,2,Mr. Sellack (Album Version),1,2025-11-24 16:46:14
AR11YQ81187FB3C654,Dixie Chicks,"Austin, TX",2,Lullaby,1,2025-11-24 16:46:14
AR1206S1187B9AF3EA,Albert Préjean,,1,Une java,1,2025-11-24 16:02:50
AR12EOE1187FB3AE26,The Pineapple Thief,,4,Boxing Day,2,2025-11-24 16:54:58
AR12F2S1187FB56EEF,Aerosmith,"Boston, MA",7,What It Takes,2,2025-11-24 16:54:58
AR137UW1187B98CCBA,Charlie Byrd Trio,,2,Travellin' On,1,2025-11-24 16:46:14
AR14CJ91187FB3A994,Eddy Arnold,"Madisonville, TN",4,I´m Throwing Rice,2,2025-11-24 16:54:58
AR15O341187B9B182C,Natassa Theodoridou,,2,Den Thelo Tipota,1,2025-11-24 16:02:50
AR189B91187B9B8D9C,Gustavo Cerati,,4,Tu Cicatriz En Mi,2,2025-11-24 16:02:50
AR18AJW1187FB3F9FA,F.I.R.,,2,Si Xin De Li You,1,2025-11-24 16:43:32
AR198711187B9AD09F,Simply Red,İngiltere,6,Good Times Have Done Me Wrong (live) - exclusive version,2,2025-11-24 16:54:58
AR199MY1187B9B731E,Madilu System,,2,Autoroute,2,2025-11-24 16:43:32
AR19JS91187B98CB66,Captain Hollywood Project,,2,All I Want,1,2025-11-24 16:43:32
AR1ABAO1187FB531E1,Alice Cooper,"Detroit, MI",2,Make That Money (Scrooge's Song) (Album Version),1,2025-11-24 16:02:50
AR1BZED1187FB4CDEE,Wendy Moten,"Memphis, TN",1,Make This Love Last,1,2025-11-24 16:02:50
AR1DC0611A348EFB30,Statues,"Sudbury, Ontario - Canada",3,The Last Stand,1,2025-11-24 16:43:32
